rewards,avg_rewards
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-49.0,-49.75
-50.0,-49.8
-50.0,-49.833333333333336
-50.0,-49.857142857142854
-50.0,-49.875
-50.0,-49.888888888888886
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-36.0,-48.6
-50.0,-48.6
-50.0,-48.6
-50.0,-48.6
-49.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-47.0,-48.2
-50.0,-48.2
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-28.0,-47.4
-50.0,-47.5
-50.0,-47.5
-50.0,-47.5
-50.0,-47.5
-43.0,-47.1
-45.0,-46.6
-50.0,-46.6
-47.0,-46.3
-50.0,-46.3
-7.0,-44.2
-2.0,-39.4
-5.0,-34.9
-50.0,-34.9
-25.0,-32.4
-44.0,-32.5
-50.0,-33.0
-50.0,-33.0
-50.0,-33.3
-50.0,-33.3
-50.0,-37.6
-50.0,-42.4
-50.0,-46.9
-42.0,-46.1
-1.0,-43.7
-50.0,-44.3
-50.0,-44.3
-50.0,-44.3
-50.0,-44.3
-50.0,-44.3
-46.0,-43.9
-50.0,-43.9
-50.0,-43.9
-50.0,-44.7
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-46.0,-49.2
-50.0,-49.6
-3.0,-44.9
-38.0,-43.7
-50.0,-43.7
-50.0,-43.7
-49.0,-43.6
-50.0,-43.6
-50.0,-43.6
-48.0,-43.4
-47.0,-43.5
-42.0,-42.7
-50.0,-47.4
-5.0,-44.1
-48.0,-43.9
-7.0,-39.6
-47.0,-39.4
-50.0,-39.4
-50.0,-39.4
-4.0,-35.0
-15.0,-31.8
-50.0,-32.6
-50.0,-32.6
-40.0,-36.1
-47.0,-36.0
-50.0,-40.3
-26.0,-38.2
-43.0,-37.5
-39.0,-36.4
-44.0,-40.4
-2.0,-39.1
-46.0,-38.7
-47.0,-38.4
-46.0,-39.0
-50.0,-39.3
-3.0,-34.6
-50.0,-37.0
-38.0,-36.5
-3.0,-32.9
-50.0,-33.5
-4.0,-33.7
-35.0,-32.6
-2.0,-28.1
-50.0,-28.5
-50.0,-28.5
-50.0,-33.2
-12.0,-29.4
-3.0,-25.9
-27.0,-28.3
-50.0,-28.3
-42.0,-32.1
-45.0,-33.1
-3.0,-33.2
-3.0,-28.5
-42.0,-27.7
-4.0,-23.1
-22.0,-24.1
-47.0,-28.5
-50.0,-30.8
-9.0,-26.7
-7.0,-23.2
-37.0,-22.4
-6.0,-22.7
-3.0,-22.7
-3.0,-18.8
-47.0,-23.1
-4.0,-21.3
-4.0,-17.0
-45.0,-16.5
-36.0,-19.2
-3.0,-18.8
-3.0,-15.4
-3.0,-15.1
-3.0,-15.1
-2.0,-15.0
-11.0,-11.4
-43.0,-15.3
0.0,-14.9
-4.0,-10.8
-3.0,-7.5
-11.0,-8.3
0.0,-8.0
-2.0,-7.9
-2.0,-7.8
-2.0,-7.8
-2.0,-6.9
-3.0,-2.9
-4.0,-3.3
-2.0,-3.1
-4.0,-3.2
-3.0,-2.4
-1.0,-2.5
-5.0,-2.8
-3.0,-2.9
0.0,-2.7
-4.0,-2.9
-4.0,-3.0
-2.0,-2.8
-3.0,-2.9
-5.0,-3.0
-1.0,-2.8
-3.0,-3.0
-3.0,-2.8
-4.0,-2.9
-3.0,-3.2
-2.0,-3.0
-3.0,-2.9
-2.0,-2.9
-2.0,-2.8
-2.0,-2.5
-2.0,-2.6
-2.0,-2.5
-48.0,-7.0
-2.0,-6.8
-1.0,-6.6
-2.0,-6.6
0.0,-6.3
-3.0,-6.4
-2.0,-6.4
-1.0,-6.3
-3.0,-6.4
-2.0,-6.4
-3.0,-1.9
-3.0,-2.0
-4.0,-2.3
-3.0,-2.4
-3.0,-2.7
-1.0,-2.5
0.0,-2.3
-4.0,-2.6
-3.0,-2.6
-1.0,-2.5
-2.0,-2.4
-2.0,-2.3
-3.0,-2.2
-3.0,-2.2
-3.0,-2.2
-1.0,-2.2
-3.0,-2.5
-1.0,-2.2
-2.0,-2.1
-2.0,-2.2
-2.0,-2.2
0.0,-2.0
-3.0,-2.0
-3.0,-2.0
-13.0,-3.0
-3.0,-3.2
-50.0,-7.9
-3.0,-8.1
-2.0,-8.1
-2.0,-8.1
-40.0,-11.9
-3.0,-12.2
-3.0,-12.2
-2.0,-12.1
-1.0,-10.9
0.0,-10.6
-3.0,-5.9
-50.0,-10.6
-4.0,-10.8
-1.0,-10.7
-2.0,-6.9
-3.0,-6.9
-50.0,-11.6
-3.0,-11.7
-3.0,-11.9
-3.0,-12.2
-6.0,-12.5
-2.0,-7.7
-2.0,-7.5
-4.0,-7.8
0.0,-7.6
-3.0,-7.6
-1.0,-2.7
-2.0,-2.6
-2.0,-2.5
-2.0,-2.4
-3.0,-2.1
-2.0,-2.1
-3.0,-2.2
0.0,-1.8
-2.0,-2.0
-18.0,-3.5
-1.0,-3.5
-2.0,-3.5
-4.0,-3.7
-3.0,-3.8
-2.0,-3.7
-4.0,-3.9
-3.0,-3.9
-5.0,-4.4
-4.0,-4.6
0.0,-2.8
-3.0,-3.0
-4.0,-3.2
-1.0,-2.9
-50.0,-7.6
-2.0,-7.6
-2.0,-7.4
-3.0,-7.4
-3.0,-7.2
-3.0,-7.1
-4.0,-7.5
-2.0,-7.4
-2.0,-7.2
-2.0,-7.3
-3.0,-2.6
-2.0,-2.6
-1.0,-2.5
-2.0,-2.4
-10.0,-3.1
0.0,-2.8
-3.0,-2.7
-50.0,-7.5
-3.0,-7.6
-2.0,-7.6
-2.0,-7.5
-3.0,-7.6
-3.0,-7.8
-3.0,-7.9
-3.0,-7.2
0.0,-7.2
-2.0,-7.1
-2.0,-2.3
-3.0,-2.3
-4.0,-2.5
0.0,-2.3
-2.0,-2.2
-3.0,-2.2
-1.0,-2.0
-3.0,-2.0
-1.0,-2.1
0.0,-1.9
0.0,-1.7
-1.0,-1.5
-7.0,-1.8
0.0,-1.8
-47.0,-6.3
-4.0,-6.4
-50.0,-11.3
-2.0,-11.2
-3.0,-11.4
-3.0,-11.7
-3.0,-12.0
-3.0,-12.2
-3.0,-11.8
-2.0,-12.0
-3.0,-7.6
-3.0,-7.5
0.0,-2.5
-3.0,-2.6
-25.0,-4.8
-3.0,-4.8
-3.0,-4.8
-3.0,-4.8
-3.0,-4.8
-2.0,-4.8
-3.0,-4.8
-2.0,-4.7
-3.0,-5.0
-50.0,-9.7
-1.0,-7.3
-2.0,-7.2
-3.0,-7.2
-3.0,-7.2
-1.0,-7.0
-3.0,-7.1
-3.0,-7.1
-2.0,-7.1
-1.0,-6.9
-2.0,-2.1
-1.0,-2.1
-2.0,-2.1
-2.0,-2.0
-2.0,-1.9
-3.0,-2.1
-1.0,-1.9
-3.0,-1.9
-3.0,-2.0
-3.0,-2.2
-3.0,-2.3
-2.0,-2.4
0.0,-2.2
-2.0,-2.2
-1.0,-2.1
-3.0,-2.1
0.0,-2.0
-50.0,-6.7
0.0,-6.4
-3.0,-6.4
-3.0,-6.4
-3.0,-6.5
-2.0,-6.7
0.0,-6.5
-2.0,-6.6
-3.0,-6.6
-47.0,-11.3
-47.0,-11.0
-47.0,-15.7
