rewards,avg_rewards
-3.0,-1.6
-2.0,-1.6
-3.0,-1.9
0.0,-1.6
-3.0,-1.7
-50.0,-6.6
-2.0,-6.7
-3.0,-7.0
-3.0,-7.0
-2.0,-7.1
-2.0,-7.0
-2.0,-7.0
-8.0,-7.5
-3.0,-7.8
-3.0,-7.8
-2.0,-3.0
-2.0,-3.0
-1.0,-2.8
-3.0,-2.8
-1.0,-2.7
-3.0,-2.8
-4.0,-3.0
0.0,-2.2
0.0,-1.9
-2.0,-1.8
-3.0,-1.9
-2.0,-1.9
-3.0,-2.1
-2.0,-2.0
-2.0,-2.1
-2.0,-2.0
-2.0,-1.8
-4.0,-2.2
-2.0,-2.4
-1.0,-2.3
-1.0,-2.1
-1.0,-2.0
-3.0,-2.0
-3.0,-2.1
-2.0,-2.1
-1.0,-2.0
-2.0,-2.0
-1.0,-1.7
-3.0,-1.8
-1.0,-1.8
-2.0,-1.9
-2.0,-2.0
-4.0,-2.1
-3.0,-2.1
-3.0,-2.2
-3.0,-2.4
0.0,-2.2
-2.0,-2.3
-2.0,-2.2
-2.0,-2.3
-4.0,-2.5
-2.0,-2.5
0.0,-2.1
-2.0,-2.0
-3.0,-2.0
-3.0,-2.0
-4.0,-2.4
-3.0,-2.5
0.0,-2.3
0.0,-2.1
-1.0,-1.8
-1.0,-1.7
-3.0,-2.0
-2.0,-2.0
-2.0,-1.9
-1.0,-1.7
-3.0,-1.6
-3.0,-1.6
-2.0,-1.8
-3.0,-2.1
-5.0,-2.5
-2.0,-2.6
-2.0,-2.5
-25.0,-4.8
-5.0,-5.1
-1.0,-5.1
-3.0,-5.1
-3.0,-5.1
-3.0,-5.2
-2.0,-5.1
-3.0,-4.9
-4.0,-5.1
-45.0,-9.4
-2.0,-7.1
-3.0,-6.9
-44.0,-11.2
-2.0,-11.1
-2.0,-11.0
-1.0,-10.8
-2.0,-10.8
-2.0,-10.7
-1.0,-10.4
-47.0,-10.6
-2.0,-10.6
-4.0,-10.7
-1.0,-6.4
-41.0,-10.3
-2.0,-10.3
-3.0,-10.5
-3.0,-10.6
-2.0,-10.6
-2.0,-10.7
-1.0,-6.1
-2.0,-6.1
-1.0,-5.8
-2.0,-5.9
-2.0,-2.0
-2.0,-2.0
-1.0,-1.8
-2.0,-1.7
0.0,-1.5
-2.0,-1.5
-3.0,-1.7
-1.0,-1.6
-1.0,-1.6
-3.0,-1.7
-1.0,-1.6
-3.0,-1.7
-2.0,-1.8
-2.0,-1.8
-3.0,-2.1
0.0,-1.9
-3.0,-1.9
-2.0,-2.0
-2.0,-2.1
-3.0,-2.1
0.0,-2.0
-16.0,-3.3
-2.0,-3.3
-12.0,-4.3
-1.0,-4.1
-3.0,-4.4
-3.0,-4.4
-2.0,-4.4
-3.0,-4.5
-1.0,-4.3
0.0,-4.3
-2.0,-2.9
-3.0,-3.0
-2.0,-2.0
-3.0,-2.2
-1.0,-2.0
-1.0,-1.8
-2.0,-1.8
-2.0,-1.7
-2.0,-1.8
0.0,-1.8
-2.0,-1.8
-2.0,-1.7
-3.0,-1.8
-1.0,-1.6
-3.0,-1.8
-3.0,-2.0
-2.0,-2.0
-2.0,-2.0
-3.0,-2.1
-2.0,-2.3
-2.0,-2.3
-3.0,-2.4
-3.0,-2.4
-1.0,-2.4
-1.0,-2.2
-2.0,-2.1
-2.0,-2.1
-1.0,-2.0
0.0,-1.7
-1.0,-1.6
-1.0,-1.5
-2.0,-1.4
-3.0,-1.4
-3.0,-1.6
-2.0,-1.7
-3.0,-1.8
-3.0,-1.9
0.0,-1.8
-2.0,-2.0
0.0,-1.9
-3.0,-2.1
-2.0,-2.1
-1.0,-1.9
-2.0,-1.8
-2.0,-1.8
-1.0,-1.6
-2.0,-1.5
-3.0,-1.8
-3.0,-1.9
-2.0,-2.1
0.0,-1.8
-3.0,-1.9
-2.0,-2.0
-3.0,-2.1
-2.0,-2.1
-2.0,-2.2
-1.0,-2.1
-3.0,-2.1
-2.0,-2.0
-1.0,-1.9
-2.0,-2.1
-3.0,-2.1
-3.0,-2.2
0.0,-1.9
-1.0,-1.8
-1.0,-1.7
-3.0,-1.9
-2.0,-1.8
-1.0,-1.7
-2.0,-1.8
-1.0,-1.7
-2.0,-1.6
-1.0,-1.4
-2.0,-1.6
-3.0,-1.8
-2.0,-1.9
-2.0,-1.8
0.0,-1.6
-3.0,-1.8
-1.0,-1.7
-1.0,-1.7
-3.0,-1.8
-2.0,-1.9
-3.0,-2.0
-2.0,-1.9
0.0,-1.7
-3.0,-1.8
-3.0,-2.1
-2.0,-2.0
-1.0,-2.0
-3.0,-2.2
-1.0,-2.0
-2.0,-2.0
-2.0,-1.9
-2.0,-1.9
-3.0,-2.2
-2.0,-2.1
-2.0,-2.0
-1.0,-1.9
-1.0,-1.9
-1.0,-1.7
-2.0,-1.8
-3.0,-1.9
-3.0,-2.0
-2.0,-2.0
-2.0,-1.9
-3.0,-2.0
-1.0,-1.9
-2.0,-2.0
-2.0,-2.1
-1.0,-2.1
-1.0,-2.0
-28.0,-4.5
-2.0,-4.4
-3.0,-4.5
-3.0,-4.6
-1.0,-4.4
-2.0,-4.5
-2.0,-4.5
-2.0,-4.5
-2.0,-4.6
-2.0,-4.7
-1.0,-2.0
-2.0,-2.0
-3.0,-2.0
-2.0,-1.9
-3.0,-2.1
-3.0,-2.2
-1.0,-2.1
0.0,-1.9
0.0,-1.7
-2.0,-1.7
-2.0,-1.8
-3.0,-1.9
-2.0,-1.8
-3.0,-1.9
-3.0,-1.9
-2.0,-1.8
-3.0,-2.0
-2.0,-2.2
-3.0,-2.5
-2.0,-2.5
-1.0,-2.4
-3.0,-2.4
-2.0,-2.4
-2.0,-2.3
-2.0,-2.2
-2.0,-2.2
